Results Table 1
,Specimen label,Maximum Load,Tensile stress at Maximum Load,Tensile strain (Extension) at Maximum Load,Load at Break (Standard),Tensile stress at Break (Standard),Tensile strain (Extension) at Break (Standard),Tensile stress at Yield (Zero Slope),Modulus (E-modulus),Comment
,,(N),(MPa),(%),(N),(MPa),(%),(MPa),(MPa),
"1","","33.99","0.45","787.40","33.99","0.45","787.40","-----","-----",""
"Coefficient of variation","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Maximum","","33.99","0.45","787.40","33.99","0.45","787.40","-----","-----",""
"Mean","","33.99","0.45","787.40","33.99","0.45","787.40","-----","-----",""
"Median","","33.99","0.45","787.40","33.99","0.45","787.40","-----","-----",""
"Minimum","","33.99","0.45","787.40","33.99","0.45","787.40","-----","-----",""
"Range","","0.00","0.00","0.00","0.00","0.00","0.00","-----","-----",""
"Standard deviation","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Mean + 1 SD","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Mean - 1 SD","","-----","-----","-----","-----","-----","-----","-----","-----",""

Results Table 2


1,Time,Displacement,Force
"","8.0000","7.9637","0.0079"
"","8.1000","8.0637","0.0080"
"","8.2000","8.1638","0.0081"
"","8.3000","8.2637","0.0081"
"","8.4000","8.3638","0.0082"
"","8.5000","8.4636","0.0083"
"","8.6000","8.5636","0.0083"
"","8.7000","8.6635","0.0084"
"","8.8000","8.7637","0.0085"
"","8.9000","8.8637","0.0085"
"","9.0000","8.9638","0.0086"
"","9.1000","9.0637","0.0087"
"","9.2000","9.1638","0.0087"
"","9.3000","9.2636","0.0088"
"","9.4000","9.3637","0.0089"
"","9.5000","9.4637","0.0089"
"","9.6000","9.5637","0.0090"
"","9.7000","9.6638","0.0090"
"","9.8000","9.7636","0.0091"
"","9.9000","9.8637","0.0092"
"","10.0000","9.9636","0.0092"
"","10.1000","10.0636","0.0093"
"","10.2000","10.1636","0.0093"
"","10.3000","10.2638","0.0094"
"","10.4000","10.3637","0.0095"
"","10.5000","10.4636","0.0095"
"","10.6000","10.5636","0.0096"
"","10.7000","10.6637","0.0096"
"","10.8000","10.7637","0.0097"
"","10.9000","10.8638","0.0097"
"","11.0000","10.9636","0.0098"
"","11.1000","11.0637","0.0099"
"","11.2000","11.1636","0.0099"
"","11.3000","11.2636","0.0100"
"","11.4000","11.3637","0.0100"
"","11.5000","11.4636","0.0101"
"","11.6000","11.5636","0.0101"
"","11.7000","11.6636","0.0102"
"","11.8000","11.7637","0.0102"
"","11.9000","11.8636","0.0103"
"","12.0000","11.9637","0.0103"
"","12.1000","12.0636","0.0104"
"","12.2000","12.1638","0.0104"
"","12.3000","12.2638","0.0105"
"","12.4000","12.3637","0.0105"
"","12.5000","12.4637","0.0106"
"","12.6000","12.5637","0.0106"
"","12.7000","12.6638","0.0107"
"","12.8000","12.7637","0.0107"
"","12.9000","12.8636","0.0108"
"","13.0000","12.9636","0.0108"
"","13.1000","13.0636","0.0109"
"","13.2000","13.1636","0.0109"
"","13.3000","13.2637","0.0109"
"","13.4000","13.3636","0.0110"
"","13.5000","13.4637","0.0110"
"","13.6000","13.5636","0.0111"
"","13.7000","13.6637","0.0111"
"","13.8000","13.7635","0.0112"
"","13.9000","13.8638","0.0112"
"","14.0000","13.9637","0.0112"
"","14.1000","14.0638","0.0113"
"","14.2000","14.1637","0.0113"
"","14.3000","14.2637","0.0114"
"","14.4000","14.3638","0.0114"
"","14.5000","14.4635","0.0115"
"","14.6000","14.5636","0.0115"
"","14.7000","14.6636","0.0115"
"","14.8000","14.7637","0.0116"
"","14.9000","14.8636","0.0116"
"","15.0000","14.9637","0.0117"
"","15.1000","15.0636","0.0117"
"","15.2000","15.1638","0.0117"
"","15.3000","15.2634","0.0118"
"","15.4000","15.3636","0.0118"
"","15.5000","15.4640","0.0119"
"","15.6000","15.5637","0.0119"
"","15.7000","15.6637","0.0119"
"","15.8000","15.7638","0.0120"
"","15.9000","15.8636","0.0120"
"","16.0000","15.9636","0.0121"
"","16.1000","16.0637","0.0121"
"","16.2000","16.1635","0.0121"
"","16.3000","16.2636","0.0122"
"","16.4000","16.3637","0.0122"
"","16.5000","16.4637","0.0122"
"","16.6000","16.5637","0.0123"
"","16.7000","16.6638","0.0123"
"","16.8000","16.7637","0.0123"
"","16.9000","16.8638","0.0124"
"","17.0000","16.9636","0.0124"
"","17.1000","17.0637","0.0125"
"","17.2000","17.1637","0.0125"
"","17.3000","17.2636","0.0125"
"","17.4000","17.3637","0.0126"
"","17.5000","17.4636","0.0126"
"","17.6000","17.5636","0.0126"
"","17.7000","17.6637","0.0126"
"","17.8000","17.7637","0.0127"
"","17.9000","17.8637","0.0127"
"","18.0000","17.9637","0.0127"
"","18.1000","18.0636","0.0128"
"","18.2000","18.1637","0.0128"
"","18.3000","18.2637","0.0129"
"","18.4000","18.3637","0.0129"
"","18.5000","18.4637","0.0129"
"","18.6000","18.5637","0.0129"
"","18.7000","18.6636","0.0130"
"","18.8000","18.7636","0.0130"
"","18.9000","18.8637","0.0130"
"","19.0000","18.9635","0.0131"
"","19.1000","19.0637","0.0131"
"","19.2000","19.1636","0.0131"
"","19.3000","19.2637","0.0132"
"","19.4000","19.3637","0.0132"
"","19.5000","19.4637","0.0132"
"","19.6000","19.5636","0.0132"
"","19.7000","19.6637","0.0133"
"","19.8000","19.7637","0.0133"
"","19.9000","19.8636","0.0133"
"","20.0000","19.9637","0.0134"
"","20.1000","20.0637","0.0134"
"","20.2000","20.1637","0.0134"
"","20.3000","20.2636","0.0134"
"","20.4000","20.3638","0.0135"
"","20.5000","20.4636","0.0135"
"","20.6000","20.5636","0.0135"
"","20.7000","20.6636","0.0136"
"","20.8000","20.7637","0.0136"
"","20.9000","20.8636","0.0136"
"","21.0000","20.9637","0.0136"
"","21.1000","21.0636","0.0137"
"","21.2000","21.1637","0.0137"
"","21.3000","21.2636","0.0137"
"","21.4000","21.3636","0.0138"
"","21.5000","21.4637","0.0138"
"","21.6000","21.5637","0.0138"
"","21.7000","21.6638","0.0138"
"","21.8000","21.7636","0.0139"
"","21.9000","21.8637","0.0139"
"","22.0000","21.9636","0.0139"
"","22.1000","22.0637","0.0139"
"","22.2000","22.1636","0.0140"
"","22.3000","22.2636","0.0140"
"","22.4000","22.3636","0.0140"
"","22.5000","22.4637","0.0140"
"","22.6000","22.5636","0.0141"
"","22.7000","22.6637","0.0141"
"","22.8000","22.7637","0.0141"
"","22.9000","22.8637","0.0141"
"","23.0000","22.9637","0.0142"
"","23.1000","23.0636","0.0142"
"","23.2000","23.1637","0.0142"
"","23.3000","23.2636","0.0142"
"","23.4000","23.3636","0.0143"
"","23.5000","23.4636","0.0143"
"","23.6000","23.5637","0.0143"
"","23.7000","23.6637","0.0143"
"","23.8000","23.7637","0.0144"
"","23.9000","23.8636","0.0144"
"","24.0000","23.9636","0.0144"
"","24.1000","24.0636","0.0144"
"","24.2000","24.1637","0.0144"
"","24.3000","24.2637","0.0145"
"","24.4000","24.3637","0.0145"
"","24.5000","24.4637","0.0145"
"","24.6000","24.5637","0.0145"
"","24.7000","24.6637","0.0146"
"","24.8000","24.7635","0.0146"
"","24.9000","24.8635","0.0146"
"","25.0000","24.9637","0.0146"
"","25.1000","25.0636","0.0146"
"","25.2000","25.1637","0.0147"
"","25.3000","25.2636","0.0147"
"","25.4000","25.3636","0.0147"
"","25.5000","25.4636","0.0147"
"","25.6000","25.5637","0.0148"
"","25.7000","25.6637","0.0148"
"","25.8000","25.7637","0.0148"
"","25.9000","25.8637","0.0148"
"","26.0000","25.9637","0.0148"
"","26.1000","26.0637","0.0149"
"","26.2000","26.1638","0.0149"
"","26.3000","26.2636","0.0149"
"","26.4000","26.3636","0.0149"
"","26.5000","26.4635","0.0149"
"","26.6000","26.5636","0.0150"
"","26.7000","26.6637","0.0150"
"","26.8000","26.7637","0.0150"
"","26.9000","26.8637","0.0150"
"","27.0000","26.9637","0.0150"
"","27.1000","27.0637","0.0151"
"","27.2000","27.1638","0.0151"
"","27.3000","27.2636","0.0151"
"","27.4000","27.3637","0.0151"
"","27.5000","27.4638","0.0151"
"","27.6000","27.5637","0.0152"
"","27.7000","27.6637","0.0152"
"","27.8000","27.7636","0.0152"
"","27.9000","27.8636","0.0152"
"","28.0000","27.9636","0.0152"
"","28.1000","28.0637","0.0152"
"","28.2000","28.1636","0.0153"
"","28.3000","28.2637","0.0153"
"","28.4000","28.3636","0.0153"
"","28.5000","28.4637","0.0153"
"","28.6000","28.5637","0.0153"
"","28.7000","28.6638","0.0154"
"","28.8000","28.7637","0.0154"
"","28.9000","28.8637","0.0154"
"","29.0000","28.9636","0.0154"
"","29.1000","29.0637","0.0154"
"","29.2000","29.1638","0.0155"
"","29.3000","29.2637","0.0155"
"","29.4000","29.3637","0.0155"
"","29.5000","29.4635","0.0155"
"","29.6000","29.5637","0.0155"
"","29.7000","29.6636","0.0155"
"","29.8000","29.7638","0.0156"
"","29.9000","29.8637","0.0156"
"","30.0000","29.9638","0.0156"
"","30.1000","30.0636","0.0156"
"","30.2000","30.1637","0.0156"
"","30.3000","30.2634","0.0156"
"","30.4000","30.3638","0.0157"
"","30.5000","30.4637","0.0157"
"","30.6000","30.5638","0.0157"
"","30.7000","30.6637","0.0157"
"","30.8000","30.7636","0.0157"
"","30.9000","30.8636","0.0158"
"","31.0000","30.9636","0.0158"
"","31.1000","31.0637","0.0158"
"","31.2000","31.1637","0.0158"
"","31.3000","31.2637","0.0158"
"","31.4000","31.3637","0.0158"
"","31.5000","31.4637","0.0159"
"","31.6000","31.5636","0.0159"
"","31.7000","31.6636","0.0159"
"","31.8000","31.7637","0.0159"
"","31.9000","31.8637","0.0159"
"","32.0000","31.9638","0.0159"
"","32.1000","32.0639","0.0159"
"","32.2000","32.1638","0.0160"
"","32.3000","32.2636","0.0160"
"","32.4000","32.3636","0.0160"
"","32.5000","32.4636","0.0160"
"","32.6000","32.5636","0.0160"
"","32.7000","32.6637","0.0160"
"","32.8000","32.7636","0.0161"
"","32.9000","32.8637","0.0161"
"","33.0000","32.9636","0.0161"
"","33.1000","33.0637","0.0161"
"","33.2000","33.1637","0.0161"
"","33.3000","33.2637","0.0161"
"","33.4000","33.3637","0.0162"
"","33.5000","33.4637","0.0162"
"","33.6000","33.5637","0.0162"
"","33.7000","33.6638","0.0162"
"","33.8000","33.7637","0.0162"
"","33.9000","33.8638","0.0162"
"","34.0000","33.9635","0.0163"
"","34.1000","34.0636","0.0163"
"","34.2000","34.1636","0.0163"
"","34.3000","34.2636","0.0163"
"","34.4000","34.3636","0.0163"
"","34.5000","34.4637","0.0163"
"","34.6000","34.5637","0.0163"
"","34.7000","34.6638","0.0163"
"","34.8000","34.7636","0.0164"
"","34.9000","34.8637","0.0164"
"","35.0000","34.9637","0.0164"
"","35.1000","35.0637","0.0164"
"","35.2000","35.1638","0.0164"
"","35.3000","35.2637","0.0164"
"","35.4000","35.3637","0.0165"
"","35.5000","35.4635","0.0165"
"","35.6000","35.5636","0.0165"
"","35.7000","35.6636","0.0165"
"","35.8000","35.7637","0.0165"
"","35.9000","35.8636","0.0165"
"","36.0000","35.9637","0.0165"
"","36.1000","36.0636","0.0166"
"","36.2000","36.1638","0.0166"
"","36.3000","36.2637","0.0166"
"","36.4000","36.3637","0.0166"
"","36.5000","36.4637","0.0166"
"","36.6000","36.5636","0.0166"
"","36.7000","36.6637","0.0166"
"","36.8000","36.7636","0.0167"
"","36.9000","36.8637","0.0167"
"","37.0000","36.9636","0.0167"
"","37.1000","37.0637","0.0167"
"","37.2000","37.1637","0.0167"
"","37.3000","37.2638","0.0167"
"","37.4000","37.3636","0.0167"
"","37.5000","37.4637","0.0168"
"","37.6000","37.5636","0.0168"
"","37.7000","37.6637","0.0168"
"","37.8000","37.7637","0.0168"
"","37.9000","37.8637","0.0168"
"","38.0000","37.9637","0.0168"
"","38.1000","38.0637","0.0168"
"","38.2000","38.1638","0.0168"
"","38.3000","38.2636","0.0169"
"","38.4000","38.3637","0.0169"
"","38.5000","38.4635","0.0169"
"","38.6000","38.5636","0.0169"
"","38.7000","38.6636","0.0169"
"","38.8000","38.7636","0.0169"
"","38.9000","38.8637","0.0169"
"","39.0000","38.9638","0.0170"
"","39.1000","39.0637","0.0170"
"","39.2000","39.1637","0.0170"
"","39.3000","39.2637","0.0170"
"","39.4000","39.3636","0.0170"
"","39.5000","39.4636","0.0170"
"","39.6000","39.5638","0.0170"
"","39.7000","39.6637","0.0170"
"","39.8000","39.7637","0.0171"
"","39.9000","39.8638","0.0171"
"","40.0000","39.9635","0.0171"
"","40.1000","40.0636","0.0171"
"","40.2000","40.1636","0.0171"
"","40.3000","40.2637","0.0171"
"","40.4000","40.3637","0.0171"
"","40.5000","40.4636","0.0171"
"","40.6000","40.5636","0.0172"
"","40.7000","40.6637","0.0172"
"","40.8000","40.7636","0.0172"
"","40.9000","40.8637","0.0172"
"","41.0000","40.9637","0.0172"
"","41.1000","41.0637","0.0172"
"","41.2000","41.1637","0.0172"
"","41.3000","41.2636","0.0172"
"","41.4000","41.3638","0.0173"
"","41.5000","41.4636","0.0173"
"","41.6000","41.5638","0.0173"
"","41.7000","41.6636","0.0173"
"","41.8000","41.7636","0.0173"
"","41.9000","41.8636","0.0173"
"","42.0000","41.9637","0.0173"
"","42.1000","42.0637","0.0173"
"","42.2000","42.1637","0.0174"
"","42.3000","42.2637","0.0174"
"","42.4000","42.3637","0.0174"
"","42.5000","42.4637","0.0174"
"","42.6000","42.5636","0.0174"
"","42.7000","42.6638","0.0174"
"","42.8000","42.7637","0.0174"
"","42.9000","42.8636","0.0174"
"","43.0000","42.9635","0.0175"
"","43.1000","43.0637","0.0175"
"","43.2000","43.1636","0.0175"
"","43.3000","43.2637","0.0175"
"","43.4000","43.3637","0.0175"
"","43.5000","43.4637","0.0175"
"","43.6000","43.5636","0.0175"
"","43.7000","43.6637","0.0175"
"","43.8000","43.7637","0.0175"
"","43.9000","43.8637","0.0176"
"","44.0000","43.9637","0.0176"
"","44.1000","44.0637","0.0176"
"","44.2000","44.1638","0.0176"
"","44.3000","44.2636","0.0176"
"","44.4000","44.3636","0.0176"
"","44.5000","44.4635","0.0176"
"","44.6000","44.5637","0.0176"
"","44.7000","44.6636","0.0176"
"","44.8000","44.7637","0.0177"
"","44.9000","44.8637","0.0177"
"","45.0000","44.9637","0.0177"
"","45.1000","45.0636","0.0177"
"","45.2000","45.1637","0.0177"
"","45.3000","45.2636","0.0177"
"","45.4000","45.3637","0.0177"
"","45.5000","45.4637","0.0177"
"","45.6000","45.5637","0.0177"
"","45.7000","45.6637","0.0178"
"","45.8000","45.7637","0.0178"
"","45.9000","45.8637","0.0178"
"","46.0000","45.9636","0.0178"
"","46.1000","46.0636","0.0178"
"","46.2000","46.1636","0.0178"
"","46.3000","46.2637","0.0178"
"","46.4000","46.3637","0.0178"
"","46.5000","46.4637","0.0178"
"","46.6000","46.5637","0.0178"
"","46.7000","46.6638","0.0179"
"","46.8000","46.7636","0.0179"
"","46.9000","46.8636","0.0179"
"","47.0000","46.9637","0.0179"
"","47.1000","47.0637","0.0179"
"","47.2000","47.1637","0.0179"
"","47.3000","47.2637","0.0179"
"","47.4000","47.3637","0.0179"
"","47.5000","47.4636","0.0179"
"","47.6000","47.5636","0.0180"
"","47.7000","47.6636","0.0180"
"","47.8000","47.7636","0.0180"
"","47.9000","47.8637","0.0180"
"","48.0000","47.9637","0.0180"
"","48.1000","48.0637","0.0180"
"","48.2000","48.1637","0.0180"
"","48.3000","48.2637","0.0180"
"","48.4000","48.3636","0.0180"
"","48.5000","48.4636","0.0180"
"","48.6000","48.5638","0.0181"
"","48.7000","48.6638","0.0181"
"","48.8000","48.7637","0.0181"
"","48.9000","48.8637","0.0181"
"","49.0000","48.9636","0.0181"
"","49.1000","49.0637","0.0181"
"","49.2000","49.1637","0.0181"
"","49.3000","49.2635","0.0181"
"","49.4000","49.3636","0.0181"
"","49.5000","49.4636","0.0182"
"","49.6000","49.5636","0.0182"
"","49.7000","49.6637","0.0182"
"","49.8000","49.7637","0.0182"
"","49.9000","49.8637","0.0182"
"","50.0000","49.9639","0.0182"
"","50.1000","50.0637","0.0182"
"","50.2000","50.1637","0.0182"
"","50.3000","50.2636","0.0182"
"","50.4000","50.3637","0.0182"
"","50.5000","50.4636","0.0182"
"","50.6000","50.5637","0.0183"
"","50.7000","50.6636","0.0183"
"","50.8000","50.7637","0.0183"
"","50.9000","50.8635","0.0183"
"","51.0000","50.9637","0.0183"
"","51.1000","51.0637","0.0183"
"","51.2000","51.1637","0.0183"
"","51.3000","51.2637","0.0183"
"","51.4000","51.3637","0.0183"
"","51.5000","51.4637","0.0184"
"","51.6000","51.5638","0.0184"
"","51.7000","51.6637","0.0184"
"","51.8000","51.7636","0.0184"
"","51.9000","51.8637","0.0184"
"","52.0000","51.9636","0.0184"
"","52.1000","52.0636","0.0184"
"","52.2000","52.1637","0.0184"
"","52.3000","52.2637","0.0184"
"","52.4000","52.3637","0.0184"
"","52.5000","52.4637","0.0184"
"","52.6000","52.5637","0.0185"
"","52.7000","52.6636","0.0185"
"","52.8000","52.7637","0.0185"
"","52.9000","52.8637","0.0185"
"","53.0000","52.9637","0.0185"
"","53.1000","53.0637","0.0185"
"","53.2000","53.1637","0.0185"
"","53.3000","53.2636","0.0185"
"","53.4000","53.3637","0.0185"
"","53.5000","53.4636","0.0185"
"","53.6000","53.5637","0.0186"
"","53.7000","53.6636","0.0186"
"","53.8000","53.7637","0.0186"
"","53.9000","53.8636","0.0186"
"","54.0000","53.9637","0.0186"
"","54.1000","54.0636","0.0186"
"","54.2000","54.1637","0.0186"
"","54.3000","54.2637","0.0186"
"","54.4000","54.3638","0.0186"
"","54.5000","54.4637","0.0186"
"","54.6000","54.5637","0.0186"
"","54.7000","54.6636","0.0187"
"","54.8000","54.7636","0.0187"
"","54.9000","54.8637","0.0187"
"","55.0000","54.9636","0.0187"
"","55.1000","55.0637","0.0187"
"","55.2000","55.1637","0.0187"
"","55.3000","55.2636","0.0187"
"","55.4000","55.3636","0.0187"
"","55.5000","55.4637","0.0187"
"","55.6000","55.5637","0.0188"
"","55.7000","55.6637","0.0188"
"","55.8000","55.7636","0.0188"
"","55.9000","55.8637","0.0188"
"","56.0000","55.9638","0.0188"
"","56.1000","56.0637","0.0188"
"","56.2000","56.1637","0.0188"
"","56.3000","56.2637","0.0188"
"","56.4000","56.3637","0.0188"
"","56.5000","56.4636","0.0188"
"","56.6000","56.5636","0.0188"
"","56.7000","56.6637","0.0188"
"","56.8000","56.7637","0.0189"
"","56.9000","56.8637","0.0189"
"","57.0000","56.9636","0.0189"
"","57.1000","57.0636","0.0189"
"","57.2000","57.1636","0.0189"
"","57.3000","57.2636","0.0189"
"","57.4000","57.3637","0.0189"
"","57.5000","57.4637","0.0189"
"","57.6000","57.5637","0.0189"
"","57.7000","57.6638","0.0189"
"","57.8000","57.7636","0.0189"
"","57.9000","57.8637","0.0189"
"","58.0000","57.9636","0.0190"
"","58.1000","58.0637","0.0190"
"","58.2000","58.1637","0.0190"
"","58.3000","58.2637","0.0190"
"","58.4000","58.3637","0.0190"
"","58.5000","58.4637","0.0190"
"","58.6000","58.5636","0.0190"
"","58.7000","58.6637","0.0190"
"","58.8000","58.7638","0.0190"
"","58.9000","58.8637","0.0190"
"","59.0000","58.9636","0.0190"
"","59.1000","59.0637","0.0191"
"","59.2000","59.1638","0.0191"
"","59.3000","59.2636","0.0191"
"","59.4000","59.3637","0.0191"
"","59.5000","59.4636","0.0191"
"","59.6000","59.5636","0.0191"
"","59.7000","59.6636","0.0191"
"","59.8000","59.7636","0.0191"
"","59.9000","59.8637","0.0191"
"","60.0000","59.9637","0.0191"
"","60.1000","60.0637","0.0191"
"","60.2000","60.1637","0.0192"
"","60.3000","60.2637","0.0192"
"","60.4000","60.3637","0.0192"
"","60.5000","60.4636","0.0192"
"","60.6000","60.5638","0.0192"
"","60.7000","60.6637","0.0192"
"","60.8000","60.7637","0.0192"
"","60.9000","60.8637","0.0192"
"","61.0000","60.9635","0.0192"
"","61.1000","61.0636","0.0192"
"","61.2000","61.1636","0.0192"
"","61.3000","61.2637","0.0192"
"","61.4000","61.3636","0.0193"
"","61.5000","61.4636","0.0193"
"","61.6000","61.5636","0.0193"
"","61.7000","61.6637","0.0193"
"","61.8000","61.7636","0.0193"
"","61.9000","61.8637","0.0193"
"","62.0000","61.9637","0.0193"
"","62.1000","62.0638","0.0193"
"","62.2000","62.1637","0.0193"
"","62.3000","62.2636","0.0193"
"","62.4000","62.3636","0.0193"
"","62.5000","62.4636","0.0193"
"","62.6000","62.5638","0.0194"
"","62.7000","62.6637","0.0194"
"","62.8000","62.7637","0.0194"
"","62.9000","62.8636","0.0194"
"","63.0000","62.9636","0.0194"
"","63.1000","63.0636","0.0194"
"","63.2000","63.1637","0.0194"
"","63.3000","63.2637","0.0194"
"","63.4000","63.3638","0.0194"
"","63.5000","63.4637","0.0194"
"","63.6000","63.5636","0.0194"
"","63.7000","63.6637","0.0194"
"","63.8000","63.7636","0.0195"
"","63.9000","63.8637","0.0195"
"","64.0000","63.9636","0.0195"
"","64.1000","64.0637","0.0195"
"","64.2000","64.1636","0.0195"
"","64.3000","64.2636","0.0195"
"","64.4000","64.3637","0.0195"
"","64.5000","64.4637","0.0195"
"","64.6000","64.5637","0.0195"
"","64.7000","64.6636","0.0195"
"","64.8000","64.7637","0.0195"
"","64.9000","64.8637","0.0195"
"","65.0000","64.9637","0.0196"
"","65.1000","65.0638","0.0196"
"","65.2000","65.1638","0.0196"
"","65.3000","65.2637","0.0196"
"","65.4000","65.3637","0.0196"
"","65.5000","65.4636","0.0196"
"","65.6000","65.5636","0.0196"
"","65.7000","65.6636","0.0196"
"","65.8000","65.7637","0.0196"
"","65.9000","65.8637","0.0196"
"","66.0000","65.9637","0.0196"
"","66.1000","66.0637","0.0196"
"","66.2000","66.1636","0.0197"
"","66.3000","66.2637","0.0197"
"","66.4000","66.3637","0.0197"
"","66.5000","66.4637","0.0197"
"","66.6000","66.5637","0.0197"
"","66.7000","66.6637","0.0197"
"","66.8000","66.7636","0.0197"
"","66.9000","66.8637","0.0197"
"","67.0000","66.9636","0.0197"
"","67.1000","67.0636","0.0197"
"","67.2000","67.1636","0.0197"
"","67.3000","67.2636","0.0197"
"","67.4000","67.3636","0.0197"
"","67.5000","67.4636","0.0198"
"","67.6000","67.5636","0.0198"
"","67.7000","67.6637","0.0198"
"","67.8000","67.7636","0.0198"
"","67.9000","67.8637","0.0198"
"","68.0000","67.9637","0.0198"
"","68.1000","68.0638","0.0198"
"","68.2000","68.1638","0.0198"
"","68.3000","68.2636","0.0198"
"","68.4000","68.3636","0.0198"
"","68.5000","68.4635","0.0198"
"","68.6000","68.5637","0.0199"
"","68.7000","68.6635","0.0199"
"","68.8000","68.7637","0.0199"
"","68.9000","68.8637","0.0199"
"","69.0000","68.9637","0.0199"
"","69.1000","69.0636","0.0199"
"","69.2000","69.1637","0.0199"
"","69.3000","69.2636","0.0199"
"","69.4000","69.3637","0.0199"
"","69.5000","69.4637","0.0199"
"","69.6000","69.5636","0.0199"
"","69.7000","69.6638","0.0199"
"","69.8000","69.7637","0.0199"
"","69.9000","69.8637","0.0200"
"","70.0000","69.9635","0.0200"
"","70.1000","70.0636","0.0200"
"","70.2000","70.1635","0.0200"
"","70.3000","70.2637","0.0200"
"","70.4000","70.3637","0.0200"
"","70.5000","70.4637","0.0200"
"","70.6000","70.5637","0.0200"
"","70.7000","70.6637","0.0200"
"","70.8000","70.7636","0.0200"
"","70.9000","70.8637","0.0200"
"","71.0000","70.9637","0.0200"
"","71.1000","71.0637","0.0201"
"","71.2000","71.1638","0.0201"
"","71.3000","71.2637","0.0201"
