Results Table 1
,Specimen label,Maximum Load,Tensile stress at Maximum Load,Tensile strain (Extension) at Maximum Load,Load at Break (Standard),Tensile stress at Break (Standard),Tensile strain (Extension) at Break (Standard),Tensile stress at Yield (Zero Slope),Modulus (E-modulus),Comment
,,(N),(MPa),(%),(N),(MPa),(%),(MPa),(MPa),
"1","","33.99","0.45","787.40","33.99","0.45","787.40","-----","-----",""
"Coefficient of variation","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Maximum","","33.99","0.45","787.40","33.99","0.45","787.40","-----","-----",""
"Mean","","33.99","0.45","787.40","33.99","0.45","787.40","-----","-----",""
"Median","","33.99","0.45","787.40","33.99","0.45","787.40","-----","-----",""
"Minimum","","33.99","0.45","787.40","33.99","0.45","787.40","-----","-----",""
"Range","","0.00","0.00","0.00","0.00","0.00","0.00","-----","-----",""
"Standard deviation","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Mean + 1 SD","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Mean - 1 SD","","-----","-----","-----","-----","-----","-----","-----","-----",""

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0581","0.0000"
"","0.2000","0.1631","0.0001"
"","0.3000","0.2636","0.0001"
"","0.4000","0.3638","0.0002"
"","0.5000","0.4637","0.0003"
"","0.6000","0.5637","0.0004"
"","0.7000","0.6638","0.0005"
"","0.8000","0.7636","0.0005"
"","0.9000","0.8636","0.0006"
"","1.0000","0.9636","0.0007"
"","1.1000","1.0636","0.0008"
"","1.2000","1.1636","0.0009"
"","1.3000","1.2637","0.0010"
"","1.4000","1.3637","0.0011"
"","1.5000","1.4637","0.0012"
"","1.6000","1.5637","0.0013"
"","1.7000","1.6637","0.0014"
"","1.8000","1.7636","0.0015"
"","1.9000","1.8637","0.0017"
"","2.0000","1.9637","0.0019"
"","2.1000","2.0637","0.0020"
"","2.2000","2.1638","0.0021"
"","2.3000","2.2636","0.0023"
"","2.4000","2.3637","0.0024"
"","2.5000","2.4636","0.0026"
"","2.6000","2.5637","0.0027"
"","2.7000","2.6636","0.0028"
"","2.8000","2.7637","0.0030"
"","2.9000","2.8636","0.0031"
"","3.0000","2.9637","0.0032"
"","3.1000","3.0637","0.0034"
"","3.2000","3.1638","0.0035"
"","3.3000","3.2637","0.0036"
"","3.4000","3.3636","0.0037"
"","3.5000","3.4636","0.0038"
"","3.6000","3.5637","0.0040"
"","3.7000","3.6637","0.0041"
"","3.8000","3.7636","0.0042"
"","3.9000","3.8637","0.0043"
"","4.0000","3.9636","0.0044"
"","4.1000","4.0637","0.0045"
"","4.2000","4.1636","0.0046"
"","4.3000","4.2636","0.0047"
"","4.4000","4.3636","0.0048"
"","4.5000","4.4636","0.0049"
"","4.6000","4.5637","0.0050"
"","4.7000","4.6637","0.0051"
"","4.8000","4.7636","0.0053"
"","4.9000","4.8636","0.0053"
"","5.0000","4.9637","0.0054"
"","5.1000","5.0638","0.0055"
"","5.2000","5.1637","0.0056"
"","5.3000","5.2637","0.0057"
"","5.4000","5.3637","0.0058"
"","5.5000","5.4636","0.0059"
"","5.6000","5.5637","0.0060"
"","5.7000","5.6637","0.0061"
"","5.8000","5.7637","0.0062"
"","5.9000","5.8636","0.0063"
"","6.0000","5.9637","0.0064"
"","6.1000","6.0636","0.0064"
"","6.2000","6.1637","0.0065"
"","6.3000","6.2637","0.0066"
"","6.4000","6.3637","0.0067"
"","6.5000","6.4637","0.0068"
"","6.6000","6.5637","0.0069"
"","6.7000","6.6637","0.0069"
"","6.8000","6.7637","0.0070"
"","6.9000","6.8637","0.0071"
"","7.0000","6.9636","0.0072"
"","7.1000","7.0637","0.0073"
"","7.2000","7.1637","0.0073"
"","7.3000","7.2637","0.0074"
"","7.4000","7.3636","0.0075"
"","7.5000","7.4637","0.0076"
"","7.6000","7.5636","0.0076"
"","7.7000","7.6637","0.0077"
"","7.8000","7.7637","0.0078"
"","7.9000","7.8637","0.0079"
