Results Table 1
,Specimen label,Maximum Load,Tensile stress at Maximum Load,Tensile strain (Extension) at Maximum Load,Load at Break (Standard),Tensile stress at Break (Standard),Tensile strain (Extension) at Break (Standard),Tensile stress at Yield (Zero Slope),Modulus (E-modulus),Comment
,,(N),(MPa),(%),(N),(MPa),(%),(MPa),(MPa),
"1","","35.03","0.46","787.41","35.03","0.46","787.41","-----","-----",""
"Coefficient of variation","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Maximum","","35.03","0.46","787.41","35.03","0.46","787.41","-----","-----",""
"Mean","","35.03","0.46","787.41","35.03","0.46","787.41","-----","-----",""
"Median","","35.03","0.46","787.41","35.03","0.46","787.41","-----","-----",""
"Minimum","","35.03","0.46","787.41","35.03","0.46","787.41","-----","-----",""
"Range","","0.00","0.00","0.00","0.00","0.00","0.00","-----","-----",""
"Standard deviation","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Mean + 1 SD","","-----","-----","-----","-----","-----","-----","-----","-----",""
"Mean - 1 SD","","-----","-----","-----","-----","-----","-----","-----","-----",""

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.6392","0.0005"
"","0.2000","1.6509","0.0019"
"","0.3000","2.6515","0.0035"
"","0.4000","3.6517","0.0048"
"","0.5000","4.6517","0.0059"
"","0.6000","5.6516","0.0069"
"","0.7000","6.6517","0.0078"
"","0.8000","7.6518","0.0085"
"","0.9000","8.6517","0.0092"
"","1.0000","9.6517","0.0099"
"","1.1000","10.6516","0.0104"
"","1.2000","11.6516","0.0110"
"","1.3000","12.6518","0.0115"
"","1.4000","13.6517","0.0119"
"","1.5000","14.6517","0.0123"
"","1.6000","15.6515","0.0127"
"","1.7000","16.6516","0.0131"
"","1.8000","17.6517","0.0134"
"","1.9000","18.6518","0.0137"
"","2.0000","19.6517","0.0140"
"","2.1000","20.6516","0.0143"
"","2.2000","21.6516","0.0146"
"","2.3000","22.6517","0.0148"
"","2.4000","23.6517","0.0151"
"","2.5000","24.6517","0.0153"
"","2.6000","25.6517","0.0155"
"","2.7000","26.6516","0.0157"
"","2.8000","27.6518","0.0159"
"","2.9000","28.6518","0.0161"
"","3.0000","29.6517","0.0162"
"","3.1000","30.6518","0.0164"
"","3.2000","31.6517","0.0166"
"","3.3000","32.6516","0.0167"
"","3.4000","33.6518","0.0169"
"","3.5000","34.6516","0.0170"
"","3.6000","35.6516","0.0172"
"","3.7000","36.6517","0.0173"
"","3.8000","37.6518","0.0174"
"","3.9000","38.6516","0.0176"
"","4.0000","39.6516","0.0177"
"","4.1000","40.6517","0.0178"
"","4.2000","41.6517","0.0179"
"","4.3000","42.6517","0.0180"
"","4.4000","43.6517","0.0182"
"","4.5000","44.6516","0.0183"
"","4.6000","45.6516","0.0184"
"","4.7000","46.6517","0.0185"
"","4.8000","47.6517","0.0186"
"","4.9000","48.6517","0.0187"
"","5.0000","49.6515","0.0188"
"","5.1000","50.6517","0.0189"
"","5.2000","51.6518","0.0190"
"","5.3000","52.6518","0.0191"
"","5.4000","53.6516","0.0192"
"","5.5000","54.6517","0.0192"
"","5.6000","55.6517","0.0193"
"","5.7000","56.6516","0.0194"
"","5.8000","57.6517","0.0195"
"","5.9000","58.6517","0.0196"
"","6.0000","59.6516","0.0197"
"","6.1000","60.6517","0.0198"
"","6.2000","61.6516","0.0198"
"","6.3000","62.6516","0.0199"
"","6.4000","63.6517","0.0200"
"","6.5000","64.6518","0.0201"
"","6.6000","65.6517","0.0202"
"","6.7000","66.6517","0.0203"
"","6.8000","67.6516","0.0204"
"","6.9000","68.6516","0.0204"
"","7.0000","69.6517","0.0205"
"","7.1000","70.6518","0.0206"
"","7.2000","71.6517","0.0207"
"","7.3000","72.6516","0.0208"
"","7.4000","73.6516","0.0208"
"","7.5000","74.6516","0.0209"
"","7.6000","75.6518","0.0210"
"","7.7000","76.6517","0.0211"
"","7.8000","77.6517","0.0212"
"","7.9000","78.6517","0.0212"
